,Job_Title,Company_Name,Location,similarity
12,Project/Design Engineer,"Irwin Seating Company
3.9","Altamont, IL",0.8026315789473685
10,Process Engineer,"Riverdale Mills Corporation
2.8","Northbridge, MA",0.8024691358024691
62,Content Development Engineer,"Mimaki USA
3.6","Suwanee, GA",0.8024691358024691
31,Engineering Technician,Harbor Rental and Saw Shop,"Friday Harbor, WA",0.8024691358024691
35,Engineering Technician,Harbor Rental and Saw Shop,"Friday Harbor, WA",0.8024691358024691
64,Reliability Engineer,"AGC Biologics
3.2","Bothell, WA",0.8
34,Engineering Associate,B2U Storage Solutions,"Lancaster, CA",0.8
27,Controls Engineer,"Edscha Automotive
1.0","Auburn Hills, MI",0.7974683544303798
7,Application Engineer,"Hottinger, Bruel & Kjaer","Southfield, MI",0.7974683544303798
61,Release Engineer,"Persivia
3.8","Marlborough, MA",0.7948717948717948
17,Equipment Engineer,PuraVita Medical,"Lindon, UT",0.7948717948717948
89,Structural Plan Review Engineer,"West Coast Code Consultants, Inc.","Layton, UT",0.7948717948717948
41,Submittal Drafting Engineer,"American Millwork & Cabinetry
4.3","Emmaus, PA",0.7926829268292683
72,Civil/Site Design Engineer,"A&F Engineering Co., LLC Indianapolis, IN","Indianapolis, IN",0.7926829268292683
91,Project Engineer/Draftsman,Way Interglobal Network,"Elkhart, IN",0.7922077922077922
40,Site Engineer (Civil),"Design Professionals, Inc.","South Windsor, CT",0.7922077922077922
22,Project Engineer,ANDERSON CONSTRUCTION,"Lynchburg, VA",0.7922077922077922
38,Engineering / Drafting,Steelial Construction and Metal Fabrication,"Vinton, OH",0.7922077922077922
0,Engineer I/CSS 1,"MAVERICK Technologies
3.9","Portland, OR",0.7875
99,Senior Engineer- Aviation,"KLJ
3.6","Rapid City, SD",0.7875
26,High Power Microwave Physicist-Engineer,Verus Research,"Albuquerque, NM",0.7875
16,Cost Engineer,Preston Pipelines Inf.,"Milpitas, CA",0.7875
92,Senior Engineer (ASML Equipment Support Required),"EO Technical Solutions, LLC","Vancouver, WA",0.7848101265822784
15,Building Enclosure Restoration Consultant or Engineer | Maryland,Building Envelope Consultants and Scientists,Maryland,0.7848101265822784
77,"LDTO Test and Evaluation Engineer, #5059","LinQuest Corporation
3.9","Colorado Springs, CO",0.782051282051282
48,Engineer/Scientist (Project Related),"Ra Medical Systems, Inc.","Carlsbad, CA",0.782051282051282
9,Product Engineer,Watson-Marlow Flow Smart,"Seaford, DE",0.782051282051282
81,Technical Service Engineer,"Mobile Aspects
3.5","Boston, MA",0.782051282051282
86,Project Geotechncial Engineer,"American Engineers Group, LLC","Harrisburg, PA",0.782051282051282
49,Engineering Technician,CaptiveAire Systems,"Redding, CA",0.782051282051282
51,Engineering Manager,"Unirac, Inc.
3.7","Albuquerque, NM",0.7792207792207793
59,Engineering Specialist,"Knight Wall Systems, Inc.","Deer Park, WA",0.7777777777777778
43,Chief Engineer,"TCT Network
2.1","Marion, IL",0.775
36,Controls Engineer,Adaptec Solutions,"Painted Post, NY",0.775
14,Project Engineer,Shakopee Public Utilities,"Shakopee, MN",0.7721518987341772
83,Engineer Principal,"South Florida Water Management District
3.3","West Palm Beach, FL",0.7721518987341772
85,Chief Engineer,"True North Hotel Group, Inc
4.6","Hays, KS",0.7721518987341772
87,Project Engineer / Manager,Kellard Sessions Consulting,"Armonk, NY",0.7721518987341772
97,Process Engineer II,"Bristol Myers Squibb
4.1","Summit, NJ",0.7692307692307693
47,Reliability Engineer,"TechSource, Inc.
4.5","Los Alamos, NM",0.7692307692307693
71,Director of Engineering,"Norfield
4.1","Chico, CA",0.7662337662337663
30,Intermediate Project Engineer - Food Industry,AGI Danmare,"Leipsic, OH",0.7654320987654321
53,Estate Maintenance Engineer,Notre Vue Estate Winery and Vineyards,"Windsor, CA",0.7654320987654321
21,Project Engineer,"Interroll Atlanta, LLC","Hiram, GA",0.7654320987654321
1,Project Engineer,"Dome Construction
4.2","Thousand Oaks, CA",0.7631578947368421
98,Civil Engineer,Virginia Commercial Space Flight Authority,"Wallops Island, VA",0.7625
90,Process Engineering Technician (Night Shift),"ConMet
3.6","Asheville, NC",0.7590361445783133
25,Water Resources Engineer,Cedar Corporation,"Green Bay, WI",0.7560975609756098
75,Project Engineer,"Serigraph Inc.
3.5","West Bend, WI",0.7532467532467533
6,Project Engineer,Sanderson Stewart,Colorado,0.75
52,Cost Engineer / Cost Estimator,"Alliance Consulting Group, Inc.
3.4","Alexandria, VA",0.75
44,Project Engineer,"Parker General Contractors, LLC","Benson, NC",0.75
33,Applications Engineer,"Entegris, Inc.
3.9","Billerica, MA",0.7469879518072289
93,"Lecturer (Engineering), AD-1710-00","US Coast Guard Academy
3.5","New London, CT",0.7432432432432432
60,Project Engineer,"Barnhart Crane & Rigging
3.7","Memphis, TN",0.7402597402597403
8,Manufacturing Process Engineer,Jensen Castings,"Richland Center, WI",0.7380952380952381
29,Staff Engineer - R & D,"Across International LLC
3.0","Sparks, NV",0.7375
2,Engineer,Eclipse Recreational Vehicles,"Riverside, CA",0.7333333333333333
18,Project Engineer,"Renewable Water Resources
3.8","Greenville, SC",0.7307692307692307
45,Millwork/Cabinet Engineer,"Craftpoint Concepts
3.3","Ephrata, PA",0.7307692307692307
73,Mechanical Design Engineer,Veneer Services,"Indianapolis, IN",0.7283950617283951
32,Process Engineer III or IV,"BioFire Diagnostics, LLC.
3.7","Salt Lake City, UT",0.725
11,"Quality Engineer (Jackson, TN)","Prysmian
2.9","Jackson, TN",0.7195121951219512
23,Plant Engineer,Charter Nex Films,"Turners Falls, MA",0.7125
4,Project Engineer,"Refresco North America
2.7","Wharton, NJ",0.7105263157894737
65,Systems Test Engineer,"Stratagem Group
4.3","Aurora, CO",0.7073170731707317
68,Chief Engineer,"ABM Industries
3.0","Tacoma, WA",0.7012987012987013
69,Roll Cover Technician/Technology Engineer,"Schaefer Rolls, Inc","Farmington, NH",0.6923076923076923
5,Process Engineer,"Miller Manufacturing Company
2.8","Glencoe, MN",0.6923076923076923
96,Mechanical Engineer,"Kelly
3.5","Colchester, VT",0.6904761904761905
24,Project Engineer,Fortis Products LLC,"Chattanooga, TN",0.6842105263157895
84,Project Engineer I/II/III,"Souder, Miller & Associates
3.0","Albuquerque, NM",0.6835443037974683
54,Economic Studies Engineer,"MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC
3.3","Eagan, MN",0.6829268292682927
20,Project Engineer I,"Souder, Miller & Associates
3.0","Albuquerque, NM",0.6794871794871795
39,Journeyman Marine Engineer (Auxiliary),"The Kenific Group, Inc
4.0","Washington, DC",0.6447368421052632
95,Engineer II-Automation & Controls,"Grande Cheese Company
3.7","Juda, WI",0.631578947368421
42,Project Engineer,Uprite Construction Company,"San Francisco, CA",0.6103896103896104
67,Project Engineer,"Fasano/Acchione and Assoc, LLc","Monroe, LA",0.3918918918918919
63,Project Engineer,"Fasano/Acchione and Assoc, LLc","Monroe, LA",0.3918918918918919
