Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Cost Engineer,-1,"PPI – Cost Engineer Job Description
Company: Preston Pipelines Inc.
Location: Milpitas, CA
Status: Full time, Exempt
Relevant Experience: 1 – 3+ Years
Are you are looking for a company that's an industry leader, one that has a stellar reputation and a large and accessible pool of talent and knowledge to draw upon, and that offers you the opportunity to contribute from your first day and provides the potential for unlimited growth?
For over 50 years, Preston Pipelines has been delivering excellence as an Underground Engineering Contractor in California. We complete close to 300 projects annually for Developers, Contractors and Municipalities.
Preston Pipelines is a successful, well-managed company that's growing both financially and geographically. New employees enter a dynamic and fulfilling work environment -- one that has kept its small-business atmosphere, even as it continues to expand and grow. New engineers are trained and mentored so that within six months you'll feel ownership and be responsible for the projects you work on. If you are bright, energetic, talented, and team-oriented, there's a position for you at Preston Pipelines.
We have immediate openings for a Cost Engineer position. Candidates must be self-starters, productive, and highly organized.
The Cost Engineer is responsible for, but not limited to the following:
Assist in the process of building high quality, accurate and inclusive proposals for our clients.
Review project plans, specifications, soils report and other project documents.
Submit pre-bid RFI’s to the owner / engineer as needed.
Perform various take offs.
Attend pre-bid meetings.
Visit project site and take photos.
Call DVBE, UDBE and SBE contractors to satisfy goals of achieving maximum value of credit available to bidder per the project specifications, if applicable.
Verify we have the most current addendums, amendments, project plans, specifications and other relevant information.
Do whatever it takes.
Education Requirements
1 to 3+ years of construction Cost Engineering/Estimating experience. Bachelor's degree in Civil Engineering, Construction Management, or a related field is required.
For additional information, please visit our website at www.prestonpipelines.com
Preston Pipelines Inc. is a drug-free work environment. EEO employer.
Job Type: Full-time
Pay: $33.00 - $39.00 per hour
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
Cost Engineering/Estimating: 1 year (Required)
Work Location:
One location
This Job Is:
A job for which military experienced candidates are encouraged to apply
Company's website:
www.prestonpipelines.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,Preston Pipelines Inf.,"Milpitas, CA",-1,-1,-1,-1,-1,-1,-1,-1
Equipment Engineer,-1,"PuraVita Medical is a startup company focused on delivering medical PPE (surgical masks) domestically. The company will start operations in Lindon, UT, with plans for future global expansion. We are looking for qualified equipment engineers to install equipment and ramp up the factory. Responsibilities of equipment engineer will include:
· Installation and qualification of new equipment and process lines
· Documentation of factory process compliant with federal and industry regulations
· Provide training to new technicians and operators
· Ensure equipment, facility, and processes meet all regulations
· Optimize equipment performance metrics such as availability, MTBF, and cycle time
· Maintain the highest safety standards and engineering controls on equipment
· Innovation, evaluation, and optimization of factory layout and configuration
· Creation of statistical process controls with corresponding reaction mechanisms
· Identify gaps in control systems and drive FMEA risk factors down, with emphasis on elimination of repeat occurrences through engineering controls
· Identify and eliminate process and equipment deviations through model-based problem-solving techniques
· Identify and resolve issues that result in quality deviations or scrap on equipment
· Identify and eliminate wastes in manufacturing process and equipment
Qualifications:
· Strong understanding and minimum of 5 year’s experience with mechanical, electronic, and pneumatic systems, preferably in a factory
· Ability to learn new systems and machinery
· Ability to program robots, PLC’s, and related equipment
· Ability to quickly troubleshoot and methodically break down a problem to root cause
· Strong interpersonal and teamwork skills
· Ability to work independently with minimal supervision
· Proven ability to multi-task complex projects
· Must be willing to spend majority of time in a cleanroom environment (class 100,000)
· BS or MS in mechanical or electrical engineering or a related field is required.
· Ability to speak or read Chinese is a HUGE plus.
We offer competitive wages and relocation assistance to the right candidates.
Job Type: Full-time
Benefits:
401(k) matching
Dental insurance
Health insurance
Paid time off
Relocation assistance
Vision insurance
Supplemental Pay:
Bonus pay
Location:
Lindon, UT 84042 (Required)
Work Location:
One location
Company's website:
http://puravitamedical.com/
Work Remotely:
No",-1,PuraVita Medical,"Lindon, UT",-1,-1,-1,-1,-1,-1,-1,-1
Project Engineer,-1,"Renewable Water Resources, a special purpose district created for the protection of public health and water resources, is seeking a successful candidate for the following position.
The successful candidate for this position requires a Bachelor's degree or education and training equivalent to four years of college education in civil engineering, environmental engineering or closely related field; must possess a valid state driver’s license; a Professional Engineer registration in the state of South Carolina desired; and one (1) to five (5) years of progressively responsible experience in environmental engineering, project management, and construction projects. The successful candidate will review plans and specifications developed by consulting engineers in order to ensure compliance with relative regulations and standards; review title search information in order to obtain project right of way and property purchases; track and/or manage developer, in-house, and participation projects from design to finished working product; draft ownership and service agreements, preliminary engineering reports, sewer availability letters, meet with potential customers in order to discuss relative matters; draft agenda items and permit applications; provide in-house design for existing wastewater facilities and/or collection system extensions, repairs, upgrades, maintenance, etc.; utilize appropriate office equipment in preparation of sewer designs; prepare cost estimates for sewer projects; prepare service population projections, estimate wastewater discharge projections, review inflow and infiltration studies, prepares maps, and visual aids; maintain status of project by populating project milestones, daily logs, and communication in the Project Management System database; interact professionally with consulting engineers, technicians, operations personnel, maintenance staff, customers, accounting department, etc.; communicate with Engineering Department personnel in order to discuss applicable fees and charges, right-of-ways, project design, inspection reports, etc.; assist with regulatory permitting process by preparing and submitting permit application packages to applicable regulating authority; interacts with S.C. Department of Health and Environmental Control, Greenville County, SC Highway Department, Railroads, and other utilities, and governmental agencies relative to permits and rights of way required; review prepared studies, hydraulic models, draft letters, cost estimates, design drawings, specifications, preliminary layout plans, etc., to ensure accuracy and provide guidance, direction, and suggestions, etc.; assist departmental staff and/or consultants in the design of sewer collection and treatment facilities; will be on call for emergency situations that may arise; perform other general administrative/clerical work as needed, including preparation of reports and records, completion of forms, entering and retrieval of computer data, copying and filing of documents, answering telephone, attending meetings, etc.; attend meetings, training, seminars, conferences, etc. as approved to maintain current knowledge of laboratory quality control issues, legislation, and technologies; and attend training, meetings, seminars and/or workshops to enhance job knowledge and skills.
Renewable Water Resources offers a competitive salary and benefits. If you are interested in this position, please submit an online application with resume attached by FRIDAY, January 23, 2015 AT www.rewaonline.org
EEO/M/F/DN",3.8,"Renewable Water Resources
3.8","Greenville, SC",-1,51 to 200 Employees,1925,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1
Engineering Technician,-1,"We are searching for an experienced Engineering Technician at our Newburyport, MA - Bld 9 location.
GENERAL SUMMARY
Works in conjunction with Process Engineers to develop and maintain manufacturing techniques and processes. Recognizes and utilizes prescribed techniques to solve problems. Can recommend and execute enhancements to product and process flows.

ESSENTIAL JOB FUNCTIONS
Supports Process Engineers in establishing high yielding, cost effective processes based on product need and customer requirements.
Complies with Company policies, operating procedures, processes, and task assignments.
Set-ups and operates equipment and develop process programs.
With direction from Process Engineers, can execute design of experiments (DOE), gathering data for analysis.
Uses principles of Cost of Goods Sold and executes process improvements to increase cost effectiveness of manufacturing.
Serves as member on cross-functional project teams.
Ensures Intellectual Property issues are being considered relative to processes being developed.
Maintains positive and cooperative communications and collaboration with all levels of employees, customers, contractors, and vendors.

OTHER DUTIES AND RESPONSIBILITIES
Performs additional duties, as assigned.

PREPARATION, KNOWLEDGE, SKILLS & ABILITIES
AS degree in Engineering or Technical Field required; advanced degree preferred.
Minimum 3 years relevant engineering experience.
Familiarity of MIL-PRF-38535, MIL-STD-883, ISO9001 and EIA/JEDEC and standards.
Strong electro-mechanical aptitude; can identify and resolve complex system problems.
Ability to work within a team and as an individual contributor in a fast-paced, changing environment.
Strong verbal and written communications with ability to effectively communicate at multiple levels in the organization.
Must be able to accurately follow written and verbal instructions.
Must be able to multitask, and prioritize projects assigned.
Ability to work in a highly matrixed and diverse business environment.
Prioritizes and meets deadlines in timely manner.
Understands work environment issues (i.e. OSHA regulations, etc.).
Ability to work independently with little supervision.

SUPERVISORY RESPONSIBILITY
No supervisory responsibility.

WORKING CONDITIONS/PHYSICAL DEMANDS
Significant amount of time gowned in a clean room environment, sitting, standing and walking.
Spends time in front of a computer monitor.
Significant use of hands and arms, plus finger dexterity to reach, point, write, type, operate a computer and other office and manufacturing equipment and tools.
Performs tasks that requires good vision (with or without correction) that allows for the inspection of small components and provides good hand/eye coordination.
Significant use of voice and hearing for discussions with other employees.
Infrequent lifting and moving of light weight (less than 50 pounds) equipment and fixtures.

Mental Requirements
Strong verbal and written communications with ability to effectively communicate at multiple levels in the organization.
Ability to maintain regular and predictable attendance.

Equipment Used
Will work with a variety of production equipment, small hand tools, test equipment, and precision measuring instruments.
Uses standard office equipment such as telephone, fax/copier, and a personal computer with standard office software.

Our company provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.",3.1,"Rochester Electronics LLC
3.1","Newburyport, MA",-1,201 to 500 Employees,1981,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),-1
Project Engineer I,-1,"Job Description:
The Project (PROJ) I is responsible for planning, designing and directing projects locally and/or remotely on local or team level. The PROJ I position requires the ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, design plans and governmental regulations as well as the ability to write reports, business correspondence and procedure manuals. These abilities must also translate into the effective and consistent presentation of information and response to questions from groups of managers, clients, customers, regulators and the general public. The PROJ I position typically has a balanced exposure internally (employees) and externally (clients/regulators), but can be weighted toward field work, office work or management.
RESPONSIBILITIES:
Prepare and monitor budgets for assigned projects; has direct responsibility for the profitability of assigned projects.
Responsible for monitoring and managing work-in-process, accurate and timely client billings, outstanding accounts receivable and collection efforts on assigned projects.
Responsible for project and team schedules, and timely completion of assigned projects.
Prepare and monitor forecast of workload for any assigned staff.
Prepare or direct preparation and modification of reports, specifications, plans, construction schedules, studies and/or designs for project.
Develop, analyze and provide peer review on reports, maps, drawings, blueprints, tests and/or aerial photographs for quality assurance and to plan and/or design projects.
May use computer assisted engineering, technical and/or design software and equipment to prepare simple to complex engineering, analysis and design documents
Supervise and monitor client relationship strategies; is the primary client contact for assigned clients.
Develop and review pricing, estimating, scoping and marketing strategies for assigned projects.
In coordination with the direct supervisor and possibly TS Director/Manager, develop and provide peer review of contract agreements for assigned projects
Executes agreements with value-limited signatory authority.
Attend client meetings, day or night; ability to complete overnight travel unassisted, occasionally extending five or more consecutive nights.
Visit project site(s) to monitor progress and other duties per the contract documents as the registered professional of record.
Under the direction of the direct supervisor and in coordination with the MS Director/Manager, manage specific marketing responsibilities with clients to obtain work for the firm.
Develop peer-to-peer communication skills locally and intra-office.
Develop technical skill relevant to area(s) of practice.
Recognize and operate within limitations while seeking advice as needed.
Advance awareness of potential liabilities associated with the technical aspects of the area of expertise.
May be designated as responsible for development and enforcement of onsite health and safety plan administration (relative to SMA employees).
Business/Fiscal Management
Communicate Opportunities - Communicate/present potential new business or resource information, competitive situations or technology/regulatory factors to the appropriate TS/MS management.
Control Costs - As part of the management of each project, ensure that costs are kept in line with the original budget for time, travel and material expenses. Discuss variations with TS/MS management and issue project change notices to reflect agreed-upon changes.
Maximize Project Profitability - Through appropriate project budgeting/pricing, utilization of resources and cost controls, maximize the profit margin on individual projects.
Administrative
Manage and Develop Assigned Staff - Understand the strengths and areas needing improvement for assigned team members. Manage, support and evaluate each individual towards achieving their maximum potential.
Be a Public Relations Ambassador - Be proactive in presenting and communicating the capabilities and strengths of the company to clients and the public at large.
Timesheets- Complete personal timesheets in a timely manner (within company policy) with accurate and complete accounting for all activities.
Complete and submit expense reports in a timely manner.
Relationship Building
Solicit New Clients/Projects - In coordination with your supervisor and/or the MS Director/Manager, interface with potential or existing clients, listen for and seek out new projects that may exist or are being formulated. Set up meetings and lead in the development of proposals.
Maintain Contact with Clients - Meet regularly with key assigned clients to discuss current projects, evaluate firm performance and identify other business opportunities either with current clients or through referrals.



QUALIFICATIONS:
Bachelor’s degree in appropriate engineering or science with minimum four years of experience post-graduation or Master’s degree in appropriate engineering or science with minimum three years of experience post-graduation
Professional/Occupational licensure required
Must have a valid driver's license",3.0,"Souder, Miller & Associates
3.0","Albuquerque, NM",-1,201 to 500 Employees,1992,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1
Project Engineer,-1,"We are seeking for an experienced, detail-oriented Project Engineer to join our growing team. In this position, you will play a key role in the overall success of our organization by planning, managing, and monitoring project engineering functions. You will be responsible for overseeing engineering projects, processes, and timelines and making any necessary adjustments to ensure successful completion of a project. Successfully manage the creation of all components and processes necessary to complete an engineering project on time.

The Interroll Group is one of the world’s leading specialists within the field of internal logistics. Headquartered in Switzerland, the exchange-listed company employs around 2,300 people at 32 enterprises around the globe. Among the company’s 23,000 customers are plant manufacturers, system integrators and equipment manufacturers. Our products are in daily use by global brands everyone knows, like Amazon, Bosch, Coca-Cola, DHL, Procter & Gamble, Red Bull, Siemens, Walmart and Yamaha (Motorcycles). On top of that, Interroll initiates global research projects for logistics efficiency and is actively supporting industry associations for standards or better use of resources.
DUTIES AND RESPONSIBILITIES: *
· Creating and verifying layout, detail, load, structural drawings, schematics and equipment orders as applicable to the project.

· Plans equipment layout, material flow, and measures to maintain efficient and safe utilization of resources and equipment on projects as assigned

· Works with other engineering disciplines in the development and application of material handling equipment and solutions as required in support of project needs. Integrates findings and concepts into design recommendations on projects assigned.

· May potentially direct and coordinate building of prototypes. Confers with research and other engineers to clarify and resolve problems found during execution; prepares design modifications, as appropriate.

· Support Installation with instructions and drawings

· Adhere to a schedule to ensure all engineering tasks are completed on time

· Support Installation with technical expertise for field modifications.

· Creation of Engineering Process Tasks for all Projects.

· Assist with Corrective Actions for customer complaints.

· Utilize ERP Systems to release designs to production which meets customer requirements.

· Performs a variety of calculations (e.g to compute angles, weights, dimensions, etc) and prepares detailed multi-view drawings based on engineering data and standard references.

· Communication (facilitation and mature communication skills to be able to communicate to all areas of the project team and client when necessary).

· Accountable for all aspects of the project components from start to completion

· Transform conceptual drawings into final engineered installation drawings

· Build equipment list and issue purchase orders for project components

· Work with project management and install teams with on-site support

· Ensure robust design reviews are conducted to improve the quality of output in engineering

· Understand, diagnose, and solve real or potential design problems
REQUIRED QUALIFICATIONS: *
Possess basic proficiency in one more or software programs including knowledge of SharePoint, SAP, Autodesk Inventor, AutoCAD, Word, Excel, and Outlook. Solid knowledge of programs like Microsoft Project, PowerPoint, OneNote, and Microsoft Teams.

· Display Interroll’s Guiding Principles always:

Integrity

Teamwork

Professionalism

Innovation

Accountability

· Minimum of a Bachelor’s Degree in Mechanical Engineering.

· 3+ years of engineering experience, ideally in the material handling industry or other industrial applications.

· Analytical and mathematical mind, capable of evaluating and solving various complex problems.

· Organizational competencies and project management skills to keep projects, processes, and the sorter project team on track.

· Self-motivated attitude with the ability to multitask and thrive in a timeline-driven environment.

· Interpersonal communication skills with expertise in distilling complicated topics to a broader audience.

· Excellent organizational and communication skills.

· Excellent Problem-solving abilities.

· Willingness to learn new technologies

· Ability to understand and maintain project schedules

· Excellent time management skills

· Excellent organizational skills

· Excellent verbal communication skills

· Excellent technical writing skills

· Eagerness to get involved in hands-on work

· Able to effectively communicate with engineering and estimating departments, contractors, suppliers, and customers

· Able to work well independently and in a team environment

· Able to technically define problems and propose solutions

· Adaptable to change in a learning environment

· Willing and able to work overtime, weekends, and holidays when necessary

PHYSICAL DEMANDS:

While performing the functions of this job, the employee is regularly required to sit; use hands and fingers, handle, or feel and talk or hear. Specific vision abilities required by this job include close vision and color vision. The noise level in the work environment is generally quiet.

The above statements reflect the general details considered necessary to describe the principal function of the job identified and shall not be construed as a detailed description of all the work requirements that may be inherent in this job.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Experience:
Material Handling: 3 years (Preferred)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Work Location:
One location
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,"Interroll Atlanta, LLC","Hiram, GA",-1,-1,-1,-1,-1,-1,-1,-1
Project Engineer,-1,"_Summary/Objective_*
The project engineer will be responsible for providing administrative and tactical support for our Project Managers. We are looking for
an ambitious individual who can manage an extremely busy schedule, meet deadlines and pay strict attention to detail. We offer
competitive salaries and a generous benefits package. Project management experience will be heavily weighted in our selection
process.
Essential Functions*
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Communicate and follow up with Project Manager about specific projects and their goals.
Reviews bid documents, plans and specifications for compliance purposes.
Creates and issues and documents all vendor subcontracts and purchase orders.
Validates and documents subcontractor and material supplier compliance with Project Manual.
Obtains and documents subcontractor and material supplier credentials.
Take minutes during progress meetings and prepares project performance reports, weekly progression updates and ranking
reports
May analyze statistical data as required.
Reviews estimates and revisions for completeness and accuracy.
Creates job folders and maintains accurate records of project management operations, schedules and expenditure.
Reviews construction documents and understands scope of work to execute.
Obtains bids from subcontractors and suppliers if needed
Collaborates with managers to develop and implement action plans essential to proper time, money and process
management.
Informs immediate supervisor of any observed inaccuracies or omissions in quoted items or computer database.
Develops and maintains resource information on products, vendors, subcontractors, government requirements, etc.
Attends departmental meetings as required.
Document established project goals and communicate them to the project team.
Design and manage systems which are vital to quality review and control, and also develop and implement programs for
continuous
Competencies*
Collaboration Skills.
Communication Proficiency.
Ethical Conduct.
Thoroughness.
Time Management
Preferred Education and Experience*
• 3-5 years in project management environment is preferred.
• Experience in the construction industry is a plus.
• Ability to follow directions and take initiative when required.
• Excellent communication, time management and organizational skills
Work Environment*
This job operates in a clerical office setting. This role routinely uses standard office equipment such as computers, phones,
photocopiers, filing cabinets.
Work Authorization/Security Clearance (if applicable)*
You must agree to a background check and drug testing at the discretion of the company. We do random drug testing on a continualbasis. _*This position has no work authorization or Security Clearance requirements, however, confidentiality regarding team members,*__*financial information and situations and general personal knowledge of business machinations is required.*_
AAP/EEO Statement*
Anderson Construction, Inc. does not discriminate in employment on the basis of race, color, religion, sex (including pregnancy and
gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in
an employee organization, retaliation, parental status, military service, or other non-merit factor
Other Duties*
Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that
are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

Job Type: Full-time

Pay: $35,000.00 - $40,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Weekends
Experience:
Project Management: 3 years (Preferred)
Work Remotely:
No",-1,ANDERSON CONSTRUCTION,"Lynchburg, VA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Plant Engineer,-1,"Charter NEX Films is North America’s leading independent producer of high-performance specialty films used in flexible packaging and other critical performance applications. With our exclusive focus on blown and cast film extrusion, you’ll find unmatched expertise and a company that is invested in your success. We at Charter NEX Films always strive for “A Better Way.”
We currently have an opportunity for a Plant Engineer to join our team located in our Turners Falls, MA location. This position is responsible for providing leadership to the Plant Maintenance staff with technical responsibilities of designing, planning, installing, and maintaining plant systems, facilities, and equipment.
Responsibilities
Ensure highest possible operating efficiency is obtained
Monitor and manage plant utilities
Research and procure new process and support equipment
Train personnel on equipment, safety, processes, and procedures as needed
Plan and develop expansion strategies and layouts
Manage all predictive maintenance programs
Mechanical and electrical trouble shooting of assets
Develop and manage relationships with primary vendors and suppliers to ensure equipment reliability
Manage contractors and costs during project installations
Perform maintenance and repairs or be responsible for managerial duties of internal and external resources
Evaluate all upcoming capital projects and analyze and obtain required feedback for all equipment and layouts
Requirements
Bachelor’s Degree in Engineering (preferred) or equivalent combination of education and work experience
5-10 years experience leading a maintenance or technical function
Minimum of 5 years working in manufacturing
Demonstrated change management and conflict resolution skills
Job Type: Full-time
Schedule:
Day Shift
Monday to Friday
On Call
Experience:
Manufacturing: 5 years (Required)
Application Question:
How many years have you directly supervised people?
Additional Compensation:
Bonuses
Work Location:
One location
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
High stress tolerance -- thrives in a high-pressure environment
Company's website:
www.charternex.com
Work Remotely:
No",-1,Charter Nex Films,"Turners Falls, MA",-1,-1,-1,-1,-1,-1,-1,-1
Project Engineer,-1,"Cold Formed Metal Stud Drafting and Shop Drawing experience
Revit Experience: 3+ years of FULL TIME use with verified employment.
Dynamo for Revit a plus.
CNC programming
StrucSoft Software experience
Job Type: Full-time
Pay: $58,092.00 - $85,901.00 per year
Schedule:
Monday to Friday
Work Location:
Multiple locations
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
People-oriented -- supportive and fairness-focused",-1,Fortis Products LLC,"Chattanooga, TN",-1,-1,-1,-1,-1,-1,-1,-1
Water Resources Engineer,-1,"Water Resources Engineer
We are looking to add a leader in our Water Resources Team to assist our clients address in a wide variety of challenges facing their communities from master planning and technical feasibility studies through design and construction on Water, Wastewater and Stormwater projects.
If you have 10 plus years of engineering experience, bring client relationship skills, project management, and advanced technical expertise developing projects in the Water Resource arena, this will be a significant career building opportunity for you!
You must possess strong leadership, organizational, critical thinking, communication, presentation and problem-solving skills. A sincere desire to coach, mentor and build current and future staff within a collaborative work environment key to your selection.
Required Experience:
· Bachelor’s degree in Civil, Environmental, or related engineering discipline
· Professional Engineer License (PE) in Wisconsin or ability to obtain within one year
· Project development experience where the primary focus was working with clients to understand their needs and develop solutions to their municipal water system challenges
· Leading project designs and teams
· Project management to include scope, schedule, budget, assigning tasks and schedules to project team members and monitor overall progress
· Consulting experience as the technical expert for water system master plans, water studies, rate analysis, and capital improvement planning projects
Preferred Experience:
· Technical experience on a variety of municipal water resource projects
· Engineering consulting experience
Cedar Corporation is an EEO/AA compliant company
Job Type: Full-time
Pay: $0.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Relocation assistance
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Required)
Experience:
Professional: 10 years (Preferred)
License/Certification:
P.E. (Preferred)
Work Location:
Multiple locations
Company's website:
http://www.cedarcorp.com
Company's Facebook page:
https://www.facebook.com/CedarCorpInfo/?viewpublicfor=106915836043584
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,Cedar Corporation,"Green Bay, WI",-1,-1,-1,-1,-1,-1,-1,-1
High Power Microwave Physicist-Engineer,-1,"Verus Research is searching for a high power microwave (HPM) physicist-engineer to support the design, development, and testing of cutting edge HPM sources, system sensors, diagnostics, and other devices.
Through this position, we seek to expand our leadership and capability in HPM systems through expansion of our source development team.
The candidate selected for this position will help us lead customer-funded and internal research. The primary responsibilities for this position include:
Detailed design synthesis of vacuum-electronic HPM sources
Formulation of conceptual solutions for HPM oscillators and amplifiers
Experimental validation of source designs
The work includes contributing to system integration efforts, project planning, and assisting in proposal writing and report generation. This posting is for a position in Albuquerque, NM.
The ideal candidate for the role will possess a strong mix of leadership traits, intellectual flexibility, and the ability to communicate complex ideas effectively to a variety of audiences. Success in this demanding role will stem from:
U.S. citizenship
Holding (or being able to obtain) a Department of Defense (DoD) security clearance
A mix of education and professional experience including either:
* 9+ years’ experience in a relevant physics or engineering role and Master’s degree in a related field such as electrical engineering, nuclear engineering, physics, or applied mathematics, or
* 5+ years’ relevant experience and a Ph.D. in one of the fields noted above
Relevant prior professional experience, including:
High power microwave (HPM) source design or development
Radio frequency source research and development
Vacuum electronics and high voltage design
Particle accelerator systems and source design
Experimental validation of the performance of vacuum electronic sources
Job Type: Full-time
Pay: $125,000.00 - $165,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Health insurance
Life insurance
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Supplemental Pay:
Bonus pay
Signing bonus
Experience:
electrical engineering, physics or related: 9 years (Required)
radio frequency source development: 5 years (Preferred)
high power microwave source design: 5 years (Preferred)
experimental performance validation: 5 years (Preferred)
vacuum electronics & high voltage design: 5 years (Preferred)
particle accelerator systems & source design: 5 years (Preferred)
Education:
Master's (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Company's website:
https://verusresearch.net/
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,Verus Research,"Albuquerque, NM",-1,-1,-1,-1,-1,-1,-1,-1
Controls Engineer,-1,"Edscha manufactures body components, powered systems, and driver controls for automakers and motor vehicle manufacturers in North America and internationally. Its body components include hinge systems, door hinges, door hinges with integrated door checks, lid and flap hinges, door checks, and sliding door systems; powered systems include rear lids and lift gates; and driver controls include handbrakes, foot-operated parking brakes, and foot controls. The company was founded in 1870 and is based in Remscheid, Germany. It has locations in Remscheid, Germany; San Luis Potosi, Mexico; and Auburn Hills, MI.
We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas.
This candidate would support production by maintaining, troubleshooting, and programming complex machinery in Allen Bradley and Siemens PLCs. MUST be flexible to work late morning start time and into early evening, to support the off shift production schedule.
EDUCATION AND EXPERIENCE
· BS in electrical engineering and 5 years’ experience preferred or at least 10 years of job related experience/proven expertise;
· Vision inspection system, new installation, and support experience (Keyence and Cognex)
· Servo, and Servo Drive tuning, and troubleshooting experience
· Lab View programming experience
KNOWLEDGE, SKILLS AND ABILITIES
Ability to program, develop, troubleshoot, and maintain Allen-Bradley (RS Logix 5000) Siemens (Step 7, TIA Portal) ABB robot, Lab View, and vision system
ABB robot and Siemens PLC experience, strongly preferred
Effectively able to manage multiple priorities simultaneously
Strong people skills with a willingness to empower the team
Clear understanding of Lean Principals and Tools.
Able to work later in the day to support the off-shift production schedule
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Night shift
On call
Education:
Bachelor's (Preferred)
Experience:
PLC programming: 3 years (Preferred)
Siemens: 1 year (Preferred)
vision system troubleshooting: 1 year (Preferred)
Shift Availability:
Night Shift (Preferred)
Work Location:
One location
Work Remotely:
No",1.0,"Edscha Automotive
1.0","Auburn Hills, MI",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
