,Job_Title,Company_Name,Location,similarity
61,Release Engineer,"Persivia
3.8","Marlborough, MA",0.8024691358024691
85,Chief Engineer,"True North Hotel Group, Inc
4.6","Hays, KS",0.8024691358024691
97,Process Engineer II,"Bristol Myers Squibb
4.1","Summit, NJ",0.8
21,Project Engineer,"Interroll Atlanta, LLC","Hiram, GA",0.7951807228915663
30,Intermediate Project Engineer - Food Industry,AGI Danmare,"Leipsic, OH",0.7951807228915663
92,Senior Engineer (ASML Equipment Support Required),"EO Technical Solutions, LLC","Vancouver, WA",0.7926829268292683
11,"Quality Engineer (Jackson, TN)","Prysmian
2.9","Jackson, TN",0.7926829268292683
48,Engineer/Scientist (Project Related),"Ra Medical Systems, Inc.","Carlsbad, CA",0.7901234567901234
9,Product Engineer,Watson-Marlow Flow Smart,"Seaford, DE",0.7901234567901234
86,Project Geotechncial Engineer,"American Engineers Group, LLC","Harrisburg, PA",0.7901234567901234
90,Process Engineering Technician (Night Shift),"ConMet
3.6","Asheville, NC",0.788235294117647
58,Clinical Maintenance Engineer,DeltaStrac LLC,"Frederick, MD",0.7857142857142857
59,Engineering Specialist,"Knight Wall Systems, Inc.","Deer Park, WA",0.7857142857142857
36,Controls Engineer,Adaptec Solutions,"Painted Post, NY",0.7831325301204819
3,Test Engineer,"ManTech International Corporation
4.3","Clarksburg, WV",0.7831325301204819
14,Project Engineer,Shakopee Public Utilities,"Shakopee, MN",0.7804878048780488
17,Equipment Engineer,PuraVita Medical,"Lindon, UT",0.7804878048780488
40,Site Engineer (Civil),"Design Professionals, Inc.","South Windsor, CT",0.7777777777777778
38,Engineering / Drafting,Steelial Construction and Metal Fabrication,"Vinton, OH",0.7777777777777778
91,Project Engineer/Draftsman,Way Interglobal Network,"Elkhart, IN",0.7777777777777778
33,Applications Engineer,"Entegris, Inc.
3.9","Billerica, MA",0.7764705882352941
0,Engineer I/CSS 1,"MAVERICK Technologies
3.9","Portland, OR",0.7738095238095238
15,Building Enclosure Restoration Consultant or Engineer | Maryland,Building Envelope Consultants and Scientists,Maryland,0.7710843373493976
98,Civil Engineer,Virginia Commercial Space Flight Authority,"Wallops Island, VA",0.7710843373493976
81,Technical Service Engineer,"Mobile Aspects
3.5","Boston, MA",0.7682926829268293
29,Staff Engineer - R & D,"Across International LLC
3.0","Sparks, NV",0.7682926829268293
12,Project/Design Engineer,"Irwin Seating Company
3.9","Altamont, IL",0.7654320987654321
51,Engineering Manager,"Unirac, Inc.
3.7","Albuquerque, NM",0.7654320987654321
25,Water Resources Engineer,Cedar Corporation,"Green Bay, WI",0.7647058823529411
73,Mechanical Design Engineer,Veneer Services,"Indianapolis, IN",0.7590361445783133
6,Project Engineer,Sanderson Stewart,Colorado,0.7590361445783133
22,Project Engineer,ANDERSON CONSTRUCTION,"Lynchburg, VA",0.7560975609756098
71,Director of Engineering,"Norfield
4.1","Chico, CA",0.7530864197530864
1,Project Engineer,"Dome Construction
4.2","Thousand Oaks, CA",0.75
23,Plant Engineer,Charter Nex Films,"Turners Falls, MA",0.7439024390243902
96,Mechanical Engineer,"Kelly
3.5","Colchester, VT",0.7411764705882353
45,Millwork/Cabinet Engineer,"Craftpoint Concepts
3.3","Ephrata, PA",0.7407407407407407
75,Project Engineer,"Serigraph Inc.
3.5","West Bend, WI",0.7407407407407407
18,Project Engineer,"Renewable Water Resources
3.8","Greenville, SC",0.7407407407407407
32,Process Engineer III or IV,"BioFire Diagnostics, LLC.
3.7","Salt Lake City, UT",0.7349397590361446
65,Systems Test Engineer,"Stratagem Group
4.3","Aurora, CO",0.7176470588235294
44,Project Engineer,"Parker General Contractors, LLC","Benson, NC",0.7160493827160493
84,Project Engineer I/II/III,"Souder, Miller & Associates
3.0","Albuquerque, NM",0.7160493827160493
47,Reliability Engineer,"TechSource, Inc.
4.5","Los Alamos, NM",0.7142857142857143
54,Economic Studies Engineer,"MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC
3.3","Eagan, MN",0.7142857142857143
68,Chief Engineer,"ABM Industries
3.0","Tacoma, WA",0.7125
60,Project Engineer,"Barnhart Crane & Rigging
3.7","Memphis, TN",0.7073170731707317
2,Engineer,Eclipse Recreational Vehicles,"Riverside, CA",0.7
52,Cost Engineer / Cost Estimator,"Alliance Consulting Group, Inc.
3.4","Alexandria, VA",0.6951219512195121
20,Project Engineer I,"Souder, Miller & Associates
3.0","Albuquerque, NM",0.691358024691358
93,"Lecturer (Engineering), AD-1710-00","US Coast Guard Academy
3.5","New London, CT",0.6875
69,Roll Cover Technician/Technology Engineer,"Schaefer Rolls, Inc","Farmington, NH",0.6829268292682927
5,Process Engineer,"Miller Manufacturing Company
2.8","Glencoe, MN",0.6829268292682927
4,Project Engineer,"Refresco North America
2.7","Wharton, NJ",0.6790123456790124
24,Project Engineer,Fortis Products LLC,"Chattanooga, TN",0.675
95,Engineer II-Automation & Controls,"Grande Cheese Company
3.7","Juda, WI",0.625
39,Journeyman Marine Engineer (Auxiliary),"The Kenific Group, Inc
4.0","Washington, DC",0.6172839506172839
42,Project Engineer,Uprite Construction Company,"San Francisco, CA",0.6049382716049383
63,Project Engineer,"Fasano/Acchione and Assoc, LLc","Monroe, LA",0.3625
67,Project Engineer,"Fasano/Acchione and Assoc, LLc","Monroe, LA",0.3625
